0x40028000;Ethernet MAC configuration register (ETH_MACCR);32;R/W;8000;
0x40028004;Ethernet MAC frame filter register (ETH_MACFFR);32;R/W;0000;
0x40028008;Ethernet MAC hash table high register (ETH_MACHTHR);32;R/W;0000;
0x4002800C;Ethernet MAC hash table low register (ETH_MACHTLR);32;R/W;0000;
0x40028010;Ethernet MAC MII address register (ETH_MACMIIAR);32;R/W;0000;
0x40028014;Ethernet MAC MII data register (ETH_MACMIIDR);32;R/W;0000;
0x40028018;Ethernet MAC flow control register (ETH_MACFCR);32;R/W;0000;
0x4002801C;Ethernet MAC VLAN tag register (ETH_MACVLANTR);32;R/W;0000;
0x40028028;Ethernet MAC remote wakeup frame filter register (ETH_MACRWUFFR);32;R/W;0000;
0x4002802C;Ethernet MAC PMT control and status register (ETH_MACPMTCSR);32;R/W;0000;
0x40028038;Ethernet MAC interrupt status register (ETH_MACSR);16;R;0000;
0x4002803C;Ethernet MAC interrupt mask register (ETH_MACIMR);16;R/W;0000;
0x40028040;Ethernet MAC address 0 high register (ETH_MACA0HR);32;R/W;8000FFFF;
0x40028044;Ethernet MAC address 0 low register (ETH_MACA0LR);32;R/W;FFFFFFFF;
0x40028048;Ethernet MAC address 1 high register (ETH_MACA1HR);32;R/W;0000FFFF;
0x4002804C;Ethernet MAC address 1 low register (ETH_MACA1LR);32;R/W;FFFFFFFF;
0x40028050;Ethernet MAC address 2 high register (ETH_MACA2HR);32;R/W;0000FFFF;
0x40028054;Ethernet MAC address 2 low register (ETH_MACA2LR);32;R/W;FFFFFFFF;
0x40028058;Ethernet MAC address 2 high register (ETH_MACA3HR);32;R/W;0000FFFF;
0x4002805C;Ethernet MAC address 2 low register (ETH_MACA3LR);32;R/W;FFFFFFFF;
0x40028100;Ethernet MMC control register (ETH_MMCCR);32;R/W;0000;
0x40028104;Ethernet MMC receive interrupt register (ETH_MMCRIR);32;R;0000;
0x40028108;Ethernet MMC transmit interrupt register (ETH_MMCTIR);32;R/W;0000;
0x4002810C;Ethernet MMC receive interrupt mask register (ETH_MMCRIMR);32;R/W;0000;
0x40028110;Ethernet MMC transmit interrupt mask register (ETH_MMCTIMR);32;R/W;0000;
0x4002814C;Ethernet MMC transmitted good frames after a single collision counter register (ETH_MMCTGFSCCR);32;R;0000;
0x40028150;Ethernet MMC transmitted good frames after more than a single collision counter register (ETH_MMCTGFMSCCR);32;R;0000;
0x40028168;Ethernet MMC transmitted good frames counter register (ETH_MMCTGFCR);32;R;0000;
0x40028194;Ethernet MMC received frames with CRC error counter register(ETH_MMCRFCECR);32;R;0000;
0x40028198;Ethernet MMC received frames with alignment error counter register (ETH_MMCRFAECR);32;R;0000;
0x400281C4;Ethernet MMC received good unicast frames counter register (ETH_MMCRGUFCR);32;R;0000;
0x40028700;Ethernet PTP time stamp control register (ETH_PTPTSCR);32;R/W;0000;
0x40028704;Ethernet PTP subsecond increment register (ETH_PTPSSIR);32;R/W;0000;
0x40028708;Ethernet PTP time stamp high register (ETH_PTPTSHR);32;R;0000;
0x4002870C;Ethernet PTP time stamp low register (ETH_PTPTSLR);32;R;0000;
0x40028710;Ethernet PTP time stamp high update register (ETH_PTPTSHUR);32;R/W;0000;
0x40028714;Ethernet PTP time stamp low update register (ETH_PTPTSLUR);32;R/W;0000;
0x40028718;Ethernet PTP time stamp addend register (ETH_PTPTSAR);32;R/W;0000;
0x4002871C;Ethernet PTP target time high register (ETH_PTPTTHR);32;R/W;0000;
0x40028720;Ethernet PTP target time low register (ETH_PTPTTLR);32;R/W;0000;
0x40029000;Ethernet DMA bus mode register (ETH_DMABMR);32;R/W;0;
0x40029004;Ethernet DMA transmit poll demand register (ETH_DMATPDR);32;R/W;0;
0x40029008;Ethernet DMA receive poll demand register (ETH_DMARPDR);32;R/W;0;
0x4002900C;Ethernet DMA receive descriptor list address register (ETH_DMARDLAR);32;R/W;0;
0x40029010;Ethernet DMA transmit descriptor list address register (ETH_DMATDLAR);32;R/W;0;
0x40029014;Ethernet DMA status register (ETH_DMASR);32;R/W;0;
0x40029018;Ethernet DMA operation mode register (ETH_DMAOMR);32;R/W;0;
0x4002901C;Ethernet DMA interrupt enable register (ETH_DMAIER);32;R/W;0;
0x40029020;Ethernet DMA missed frame and buffer overflow counter register (ETH_DMAMFBOCR);32;R/W;0;
0x40029048;Ethernet DMA current host transmit descriptor register (ETH_DMACHTDR);32;R/W;0;
0x4002904C;Ethernet DMA current host receive descriptor register (ETH_DMACHRDR);32;R/W;0;
0x40029050;Ethernet DMA current host transmit buffer address register (ETH_DMACHTBAR);32;R/W;0;
0x40029054;Ethernet DMA current host receive buffer address register (ETH_DMACHRBAR);32;R/W;0;

ETH_DMACHRBAR field descriptions;
31-0 HRBAP;Hostreceivebufferaddresspointer
;Cleared On Reset. Pointer updated by DMA during operation.


ETH_DMACHTBAR field descriptions;
31-0 HTBAP;Hosttransmitbufferaddresspointer
;Cleared On Reset. Pointer updated by DMA during operation.


ETH_DMACHRDR field descriptions;
31-0 HRDAP;Hostreceivedescriptoraddresspointer
;Cleared On Reset. Pointer updated by DMA during operation.

ETH_DMACHTDR field descriptions;
31-0 HTDAP;Hosttransmitdescriptoraddresspointer Cleared . Pointer updated by DMA during operation.


ETH_DMAMFBOCR field descriptions;
31-29 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
28 OFOC;Overflow bit for FIFO overflow counter
27-17 MFA; Missed frames by the application
;Indicates the number of frames missed by the application
16 OMFC;Overflow bit for missed frame counter 
15-0 MFC;Missed frames by the controller
;Indicates the number of frames missed by the Controller due to the host receive buffer being unavailable. This counter is incremented each time the DMA discards an incoming frame.

ETH_DMAIER field descriptions;
31-17 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
16 NISE;Normal interrupt summary enable
;When this bit is set, a interrupt is enabled. When this bit is cleared, a normal interrupt is disabled. This bit enables the following bits:
15 AISE;Abnormal interrupt summary enable
;When this bit is set, an interrupt is enabled. When this bit is cleared, an abnormal interrupt is disabled. This bit enables the following bits:
14 ERIE;Early receive interrupt enable
;When this bit is set with the normal interrupt summary enable bit (NISE), the ERS is enabled.
;When this bit is cleared, the early receive interrupt is disabled.
13 FBEIE;Fatalbuserror interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the FBES is enabled.
;When this bit is cleared, the fatal bus error enable interrupt is disabled.
12-11 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
10 ETIE;Earlytransmit interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the ETS is enabled.
;When this bit is cleared, the early transmit interrupt is disabled.
9 RWTIE;receivewatchdogtimeout interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the RWTS interrupt is enabled.
;When this bit is cleared, the receive watchdog timeout interrupt is disabled.
8 RPSIE;Receiveprocessstopped interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the RPSS is enabled. When this bit is cleared, the receive stopped interrupt is disabled.
7 RBUIE;Receivebufferunavailable interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the RBUS interrupt is enabled.
;When this bit is cleared, the receive buffer unavailable interrupt is disabled.
6 RIE;Receive interrupt enable
;When this bit is set with the normal interrupt summary enable bit (NISE), the RS interrupt is enabled.
;When this bit is cleared, the receive interrupt is disabled.
5 TUIE;Underflow interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the TUS interrupt is enabled.
;When this bit is cleared, the underflow interrupt is disabled.
4 ROIE; Overflow interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the ROS interrupt is enabled.
;When this bit is cleared, the overflow interrupt is disabled.
3 TJTIE;Transmitjabbertimeout interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the TJTS interrupt is enabled.
;When this bit is cleared, the transmit jabber timeout interrupt is disabled.
2 TBUIE;Transmitbufferunavailable interrupt enable
;When this bit is set with the normal interrupt summary enable bit (NISE), the TBUS interrupt is enabled.
;When this bit is cleared, the transmit buffer unavailable interrupt is disabled.
1 TPSIE;Transmitprocessstopped interrupt enable
;When this bit is set with the abnormal interrupt summary enable bit (AISE), the TPSS interrupt is enabled.
;When this bit is cleared, the transmission stopped interrupt is disabled.
0 TIE;Transmit interrupt enable
;When this bit is set with the normal interrupt summary enable bit (NISE), the TS interrupt is enabled.
;When this bit is cleared, the transmit interrupt is disabled.

ETH_DMAOMR field descriptions;
31-27 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
26 DTCEFD;DroppingofTCP/IPchecksumerrorframesdisable
;When this bit is set, the core does not drop frames that only have errors detected by the receive checksum offload engine. Such frames do not have any errors (including FCS error) in the Ethernet frame received by the MAC but have errors in the encapsulated payload only. When this bit is cleared, all error frames are dropped if the FEF bit is reset.
25 RSF;Receivestoreandforward
;When this bit is set, a frame is read from the Rx FIFO after the complete frame has been written to it, ignoring RTC bits. When this bit is cleared, the Rx FIFO operates in Cut-through mode, subject to the threshold specified by the RTC bits.
24 DFRF;Disableflushingofreceivedframes
;When this bit is set, the RxDMA does not flush any frames due to the unavailability of receive descriptors/buffers as it does normally when this bit is cleared (see Receive process suspended).
23-22 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
21 TSF;Transmitstoreandforward
