0x40021000;Clock control register (RCC_CR);32;R/W;83h;
0x40021004;Clock configuration register (RCC_CFGR);32;R/W;0h;
0x40021008;Clock interrupt register (RCC_CIR);32;R/W;0h;
0x4002100C;APB2 peripheral reset register (RCC_APB2RSTR);32;R/W;0h;
0x40021010;APB1 peripheral reset register (RCC_APB1RSTR);32;R/W;0h;
0x40021014;AHB Peripheral Clock enable register (RCC_AHBENR);32;R/W;14h;
0x40021018;APB2 peripheral clock enable register (RCC_APB2ENR);32;R/W;0h;
0x4002101C;APB1 peripheral clock enable register (RCC_APB1ENR);32;R/W;0h;
0x40021020;Backup domain control register (RCC_BDCR);32;R/W;0h;
0x40021024;Control/status register (RCC_CSR);32;R/W;0x0C000000;
0x40021028;AHB peripheral clock reset register (RCC_AHBRSTR);32;R/W;0h;
0x4002102C;Clock configuration register2 (RCC_CFGR2);32;R/W;0h;

RCC_CR field descriptions;
29 PLL3RDY;PLL3  READ ONLY
28 PLL3ON;PLL3enable
;Set and cleared by software to enable PLL3.
;Cleared by hardware when entering Stop or Standby mode. 
;0; PLL3 OFF
;1; PLL3 ON
27 PLL2RDY;PLL2  READ ONLY
26 PLL2ON;PLL2enable
;Set and cleared by software to enable PLL2.
;Cleared by hardware when entering Stop or Standby mode. This bit can not be cleared if the PLL2 clock is used indirectly as system clock (i.e. it is used as PLL clock entry that is used as system clock).
;0; PLL2 OFF
;1; PLL2 ON
25 PLLRDY;PLL clock ready flag READ ONLY
;Set by hardware to indicate that the PLL is locked.
;0; PLL unlocked 
;1; PLL locked
24 PLLON;PLL enable
;Set and cleared by software to enable PLL.
;Cleared by hardware when entering Stop or Standby mode. This bit can not be reset if the PLL clock is used as system clock or is selected to become the system clock. Software must disable the USB OTG FS clock before clearing this bit.
;0; PLL OFF
;1; PLL ON
19 CSSON;Clocksecuritysystem enable
;Set and cleared by software to enable the clock security system. When CSSON is set, the clock detector is enabled by hardware when the HSE oscillator is ready, and disabled by hardware if a HSE clock failure is detected.
;0; Clock detector OFF
;1; Clock detector ON (Clock detector ON if the HSE oscillator is ready, OFF if not)
18 HSEBYP;Externalhigh-speedclockbypass
;Set and cleared by software to bypass the oscillator with an external clock. The external clock must be enabled with the HSEON bit set, to be used by the device. The HSEBYP bit can be written only if the HSE oscillator is disabled.
;0; external 3-25 MHz oscillator not bypassed
;1; external 3-25 MHz oscillator bypassed with external clock
17 HSERDY;Externalhigh-speed clock ready flag READ ONLY
;Set by hardware to indicate that the HSE oscillator is stable. This bit needs 6 cycles of the HSE oscillator clock to fall down after HSEON reset.
;0; HSE oscillator not ready
;1; HSE oscillator ready
16 HSEON;HSE clock enable
;Set and cleared by software.
;Cleared by hardware to stop the HSE oscillator when entering Stop or Standby mode. This bit cannot be reset if the HSE oscillator is used directly or indirectly as the system clock.
;0; HSE oscillator OFF
;1; HSE oscillator ON
15-8 HSICAL;Internalhigh-speedclockcalibration  READ ONLY
;These bits are initialized automatically at startup.
7-3 HSITRIM;Internal high-speed clock trimming
;These bits provide an additional user-programmable trimming value that is added to the HSICAL bits. It can be programmed to adjust to variations in voltage and temperature that influence the frequency of the internal HSI RC.
;The default value is 16, which, when added to the HSICAL value, should trim the HSI to 8 MHz ± 1%. The trimming step (Fhsitrim) is around 40 kHz between two consecutive HSICAL steps.
1 HSIRDY;Internalhigh-speed clock ready flag READ ONLY
;Set by hardware to indicate that internal 8 MHz RC oscillator is stable. After the HSION bit is cleared, HSIRDY goes low after 6 internal 8 MHz RC oscillator clock cycles.
;0; Internal 8 MHz RC oscillator not ready
;1; Internal 8 MHz RC oscillator ready
0 HSION;Internalhigh-speed clock enable
;Set and cleared by software.
;Set by hardware to force the internal 8 MHz RC oscillator ON when leaving Stop or Standby mode or in case of failure of the external 3-25 MHz oscillator used directly or indirectly as system clock. This bit can not be cleared if the internal 8 MHz RC is used directly or indirectly as system clock or is selected to become the system clock.
;0; Internal 8 MHz RC oscillator OFF 
;1; Internal 8 MHz RC oscillator ON

RCC_CFGR field descriptions;
26-24 MCO;Microcontrollerclockoutput
;Set and cleared by software.
22 OTGFSPRE;USBOTGFSprescaler
;Set and cleared by software to generate the 48 MHz USB OTG FS clock. This bit must be valid before enabling the OTG FS clock in the RCC_APB1ENR register. This bit can not be cleared if the OTG FS clock is enabled.
;0; PLL VCO (2 × PLLCLK) clock is divided by 3 (PLL must be configured to output 72 MHz)
;1; PLL VCO (2 × PLLCLK) clock is divided by 2 (PLL must be configured to output 48 MHz)
21-18 PLLMUL;PLLmultiplicationfactor
;These bits are written by software to define the PLL multiplication factor. They can be written only when PLL is disabled.
17 PLLXTPRE;LSBofdivisionfactorPREDIV1
16 PLLSRC;PLLentryclocksource
15-14 ADCPRE;ADCprescaler
13-11 PPRE2;APBhigh-speedprescaler(APB2)
;Set and cleared by software to control the division factor of the APB High speed clock (PCLK2).
10-8 PPRE1;APBLow-speedprescaler(APB1)
