4003_8000;Status And Control (FTM0_SC);32;R/W;0000_0000h;40.3.3/961
4003_8004;Counter (FTM0_CNT);32;R/W;0000_0000h;40.3.4/962
4003_8008;Modulo (FTM0_MOD);32;R/W;0000_0000h;40.3.5/963
4003_800C;Channel n Status And Control (FTM0_C0SC);32;R/W;0000_0000h;40.3.6/964
4003_8010;Channel n Value (FTM0_C0V);32;R/W;0000_0000h;40.3.7/966
4003_8014;Channel n Status And Control (FTM0_C1SC);32;R/W;0000_0000h;40.3.6/964
4003_8018;Channel n Value (FTM0_C1V);32;R/W;0000_0000h;40.3.7/966
4003_801C;Channel n Status And Control (FTM0_C2SC);32;R/W;0000_0000h;40.3.6/964
4003_8020;Channel n Value (FTM0_C2V);32;R/W;0000_0000h;40.3.7/966
4003_8024;Channel n Status And Control (FTM0_C3SC);32;R/W;0000_0000h;40.3.6/964
4003_8028;Channel n Value (FTM0_C3V);32;R/W;0000_0000h;40.3.7/966
4003_802C;Channel n Status And Control (FTM0_C4SC);32;R/W;0000_0000h;
4003_8030;Channel n Value (FTM0_C4V);32;R/W;0000_0000h;
4003_8034;Channel n Status And Control (FTM0_C5SC);32;R/W;0000_0000h;
4003_8038;Channel n Value (FTM0_C5V);32;R/W;0000_0000h;
4003_803C;Channel n Status And Control (FTM0_C6SC);32;R/W;0000_0000h;
4003_8040;Channel n Value (FTM0_C6V);32;R/W;0000_0000h;
4003_8044;Channel n Status And Control (FTM0_C7SC);32;R/W;0000_0000h;
4003_8048;Channel n Value (FTM0_C7V);32;R/W;0000_0000h;
4003_804C;Counter Initial Value (FTM0_CNTIN);32;R/W;0000_0000h;
4003_8050;Capture And Compare Status (FTM0_STATUS);32;R/W;0000_0000h;
4003_8054;Features Mode Selection (FTM0_MODE);32;R/W;0000_0004h;
4003_8058;Synchronization (FTM0_SYNC);32;R/W;0000_0000h;
4003_805C;Initial State For Channels Output (FTM0_OUTINIT);32;R/W;0000_0000h;
4003_8060;Output Mask (FTM0_OUTMASK);32;R/W;0000_0000h;
4003_8064;Function For Linked Channels (FTM0_COMBINE);32;R/W;0000_0000h;
4003_8068;Deadtime Insertion Control (FTM0_DEADTIME);32;R/W;0000_0000h;
4003_806C;FTM External Trigger (FTM0_EXTTRIG);32;R/W;0000_0000h;
4003_8070;Channels Polarity (FTM0_POL);32;R/W;0000_0000h;
4003_8074;Fault Mode Status (FTM0_FMS);32;R/W;0000_0000h;
4003_8078;Input Capture Filter Control (FTM0_FILTER);32;R/W;0000_0000h;
4003_807C;Fault Control (FTM0_FLTCTRL);32;R/W;0000_0000h;
4003_8080;Quadrature Decoder Control And Status (FTM0_QDCTRL);32;R/W;0000_0000h;
4003_8084;Configuration (FTM0_CONF);32;R/W;0000_0000h;
4003_8088;FTM Fault Input Polarity (FTM0_FLTPOL);32;R/W;0000_0000h;
4003_808C;Synchronization Configuration (FTM0_SYNCONF);32;R/W;0000_0000h;
4003_8090;FTM Inverting Control (FTM0_INVCTRL);32;R/W;0000_0000h;
4003_8094;FTM Software Output Control (FTM0_SWOCTRL);32;R/W;0000_0000h;
4003_8098;FTM PWM Load (FTM0_PWMLOAD);32;R/W;0000_0000h;
4003_9000;Status And Control (FTM1_SC);32;R/W;0000_0000h;
4003_9004;Counter (FTM1_CNT);32;R/W;0000_0000h;
4003_9008;Modulo (FTM1_MOD);32;R/W;0000_0000h;
4003_900C;Channel n Status And Control (FTM1_C0SC);32;R/W;0000_0000h;
4003_9010;Channel n Value (FTM1_C0V);32;R/W;0000_0000h;
4003_9014;Channel n Status And Control (FTM1_C1SC);32;R/W;0000_0000h;
4003_9018;Channel n Value (FTM1_C1V);32;R/W;0000_0000h;
4003_901C;Channel n Status And Control (FTM1_C2SC);32;R/W;0000_0000h;
4003_9020;Channel n Value (FTM1_C2V);32;R/W;0000_0000h;
4003_9024;Channel n Status And Control (FTM1_C3SC);32;R/W;0000_0000h;
4003_9028;Channel n Value (FTM1_C3V);32;R/W;0000_0000h;
4003_902C;Channel n Status And Control (FTM1_C4SC);32;R/W;0000_0000h;
4003_9030;Channel n Value (FTM1_C4V);32;R/W;0000_0000h;
4003_9034;Channel n Status And Control (FTM1_C5SC);32;R/W;0000_0000h;
4003_9038;Channel n Value (FTM1_C5V);32;R/W;0000_0000h; 40.3.7/966
4003_903C;Channel n Status And Control (FTM1_C6SC);32;R/W;0000_0000h; 40.3.6/964
4003_9040;Channel n Value (FTM1_C6V);32;R/W;0000_0000h; 40.3.7/966
4003_9044;Channel n Status And Control (FTM1_C7SC);32;R/W;0000_0000h; 40.3.6/964
4003_9048;Channel n Value (FTM1_C7V);32;R/W;0000_0000h; 40.3.7/966
4003_904C;Counter Initial Value (FTM1_CNTIN);32;R/W;0000_0000h; 40.3.8/967
4003_9050;Capture And Compare Status (FTM1_STATUS);32;R/W;0000_0000h; 40.3.9/967
4003_9054;Features Mode Selection (FTM1_MODE);32;R/W;0000_0004h;
4003_9058;Synchronization (FTM1_SYNC);32;R/W;0000_0000h;
4003_905C;Initial State For Channels Output (FTM1_OUTINIT);32;R/W;0000_0000h;
4003_9060;Output Mask (FTM1_OUTMASK);32;R/W;0000_0000h;
4003_9064;Function For Linked Channels (FTM1_COMBINE);32;R/W;0000_0000h;
4003_9068;Deadtime Insertion Control (FTM1_DEADTIME);32;R/W;0000_0000h;
4003_906C; FTM External Trigger (FTM1_EXTTRIG);32;R/W;0000_0000h;
4003_9070; Channels Polarity (FTM1_POL);32;R/W;0000_0000h;
4003_9074;Fault Mode Status (FTM1_FMS);32;R/W;0000_0000h;
4003_9078;Input Capture Filter Control (FTM1_FILTER);32;R/W;0000_0000h;
4003_907C;Fault Control (FTM1_FLTCTRL);32;R/W;0000_0000h;
4003_9080;Quadrature Decoder Control And Status (FTM1_QDCTRL);32;R/W;0000_0000h;
4003_9084; Configuration (FTM1_CONF);32;R/W;0000_0000h;
4003_9088;FTM Fault Input Polarity (FTM1_FLTPOL);32;R/W;0000_0000h;
4003_908C;Synchronization Configuration (FTM1_SYNCONF);32;R/W;0000_0000h;
4003_9090;FTM Inverting Control (FTM1_INVCTRL);32;R/W;0000_0000h;
4003_9094;FTM Software Output Control (FTM1_SWOCTRL);32;R/W;0000_0000h;
4003_9098;FTM PWM Load (FTM1_PWMLOAD);32;R/W;0000_0000h;
4003_A000;Status And Control (FTM2_SC);32;R/W;0000_0000h;40.3.3/961
4003_A004;Counter (FTM2_CNT);32;R/W;0000_0000h;40.3.4/962
4003_A008;Modulo (FTM2_MOD);32;R/W;0000_0000h;40.3.5/963
4003_A00C;Channel n Status And Control (FTM2_C0SC);32;R/W;0000_0000h;40.3.6/964
4003_A010;Channel n Value (FTM2_C0V);32;R/W;0000_0000h;40.3.7/966
4003_A014;Channel n Status And Control (FTM2_C1SC);32;R/W;0000_0000h;
4003_A018;Channel n Value (FTM2_C1V);32;R/W;0000_0000h;
4003_A01C;Channel n Status And Control (FTM2_C2SC);32;R/W;0000_0000h;
4003_A020;Channel n Value (FTM2_C2V);32;R/W;0000_0000h;
4003_A024;Channel n Status And Control (FTM2_C3SC);32;R/W;0000_0000h;
4003_A028;Channel n Value (FTM2_C3V);32;R/W;0000_0000h;
4003_A02C;Channel n Status And Control (FTM2_C4SC);32;R/W;0000_0000h;
4003_A030;Channel n Value (FTM2_C4V);32;R/W;0000_0000h;
4003_A034;Channel n Status And Control (FTM2_C5SC);32;R/W;0000_0000h;
4003_A038;Channel n Value (FTM2_C5V);32;R/W;0000_0000h;
4003_A03C;Channel n Status And Control (FTM2_C6SC);32;R/W;0000_0000h;
4003_A040;Channel n Value (FTM2_C6V);32;R/W;0000_0000h;
4003_A044;Channel n Status And Control (FTM2_C7SC);32;R/W;0000_0000h;
4003_A048;Channel n Value (FTM2_C7V);32;R/W;0000_0000h;
4003_A04C;Counter Initial Value (FTM2_CNTIN);32;R/W;0000_0000h;
4003_A050;Capture And Compare Status (FTM2_STATUS);32;R/W;0000_0000h;
4003_A054;Features Mode Selection (FTM2_MODE);32;R/W;0000_0004h;
4003_A058;Synchronization (FTM2_SYNC);32;R/W;0000_0000h;
4003_A05C;Initial State For Channels Output (FTM2_OUTINIT);32;R/W;0000_0000h;
4003_A060;Output Mask (FTM2_OUTMASK);32;R/W;0000_0000h;
4003_A064;Function For Linked Channels (FTM2_COMBINE);32;R/W;0000_0000h;
4003_A068;Deadtime Insertion Control (FTM2_DEADTIME);32;R/W;0000_0000h;
4003_A06C;FTM External Trigger (FTM2_EXTTRIG);32;R/W;0000_0000h;
4003_A070;Channels Polarity (FTM2_POL);32;R/W;0000_0000h;
4003_A074;Fault Mode Status (FTM2_FMS);32;R/W;0000_0000h;
4003_A078;Input Capture Filter Control (FTM2_FILTER);32;R/W;0000_0000h;
4003_A07C;Fault Control (FTM2_FLTCTRL);32;R/W;0000_0000h;
4003_A080;Quadrature Decoder Control And Status (FTM2_QDCTRL);32;R/W;0000_0000h;
4003_A084;Configuration (FTM2_CONF);32;R/W;0000_0000h;
4003_A088;FTM Fault Input Polarity (FTM2_FLTPOL);32;R/W;0000_0000h;
4003_A08C;Synchronization Configuration (FTM2_SYNCONF);32;R/W;0000_0000h;
4003_A090;FTM Inverting Control (FTM2_INVCTRL);32;R/W;0000_0000h;
4003_A094;FTM Software Output Control (FTM2_SWOCTRL);32;R/W;0000_0000h;
4003_A098;FTM PWM Load (FTM2_PWMLOAD);32;R/W;0000_0000h;
400B_9000;Status And Control (FTM3_SC);32;R/W;0000_0000h;
400B_9004;Counter (FTM3_CNT);32;R/W;0000_0000h;
400B_9008;Modulo (FTM3_MOD);32;R/W;0000_0000h;
400B_900C;Channel n Status And Control (FTM3_C0SC);32;R/W;0000_0000h;
400B_9010;Channel n Value (FTM3_C0V);32;R/W;0000_0000h;
400B_9014;Channel n Status And Control (FTM3_C1SC);32;R/W;0000_0000h;
400B_9018;Channel n Value (FTM3_C1V);32;R/W;0000_0000h;
