4006_A000;UART Baud Rate Registers: High (UART0_BDH);8;R/W;00h;This register, along with the BDL register, controls the prescale divisor for UART baud rate generation. To update the 13-bit baud rate setting (SBR[12:0]), first write to BDH to buffer the high half of the new value and then write to BDL. The working value in BDH does not change until BDL is written.
4006_A001;UART Baud Rate Registers: Low (UART0_BDL);8;R/W;04h;This register, along with the BDH register, controls the prescale divisor for UART baud rate generation. To update the 13-bit baud rate setting, SBR[12:0], first write to BDH to buffer the high half of the new value and then write to BDL. The working value in BDH does not change until BDL is written. BDL is reset to a nonzero value, but after reset, the baud rate generator remains disabled until the first time the receiver or transmitter is enabled, that is, when C2[RE] or C2[TE] is set.
4006_A002;UART Control Register 1 (UART0_C1);8;R/W;00h;This read/write register controls various optional features of the UART system.
4006_A003;UART Control Register 2 (UART0_C2);8;R/W;00h;This register can be read or written at any time.
4006_A004;UART Status Register 1 (UART0_S1);8;R;C0h;MUST CHECK
4006_A005;UART Status Register 2 (UART0_S2);8;R/W;00h;The S2 register provides inputs to the MCU for generation of UART interrupts or DMA requests. Also, this register can be polled by the MCU to check the status of these bits. This register can be read or written at any time, with the exception of the MSBF and RXINV bits, which should be changed by the user only between transmit and receive packets.
4006_A006;UART Control Register 3 (UART0_C3);8;R/W;00h;Writing R8 does not have any effect. TXDIR and TXINV can be changed only between transmit and receive packets.
4006_A007;UART Data Register (UART0_D);8;R/W;00h;This register is actually two separate registers. Reads return the contents of the read-only receive data register and writes go to the write-only transmit data register.
4006_A008;UART Match Address Registers 1 (UART0_MA1);8;R/W;00h;The MA1 and MA2 registers are compared to input data addresses when the most significant bit is set and the associated C4[MAEN] field is set. If a match occurs, the following data is transferred to the data register. If a match fails, the following data is discarded. These registers can be read and written at anytime.
4006_A009;UART Match Address Registers 2 (UART0_MA2);8;R/W;00h;These registers can be read and written at anytime. The MA1 and MA2 registers are compared to input data addresses when the most significant bit is set and the associated C4[MAEN] field is set. If a match occurs, the following data is transferred to the data register. If a match fails, the following data is discarded.
4006_A00A;UART Control Register 4 (UART0_C4);8;R/W;00h;59.4.11/ 1932
4006_A00B;UART Control Register 5 (UART0_C5);8;R/W;00h;59.4.12/ 1933
4006_A00C;UART Extended Data Register (UART0_ED);8; R;00h;59.4.13/ 1934
4006_A00D;UART Modem Register (UART0_MODEM);8;R/W;00h;The MODEM register controls options for setting the modem configuration.
4006_A00E;UART Infrared Register (UART0_IR);8;R/W;00h;The IR register controls options for setting the infrared configuration.
4006_A010;UART FIFO Parameters (UART0_PFIFO);8;R/W;00h;This register provides the ability for the programmer to turn on and off FIFO functionality. It also provides the size of the FIFO that has been implemented. This register may be read at any time. This register must be written only when C2[RE] and C2[TE] are cleared/not set and when the data buffer/FIFO is empty.
4006_A011;UART FIFO Control Register (UART0_CFIFO);8;R/W;00h;59.4.17/ 1938
4006_A012;UART FIFO Status Register (UART0_SFIFO);8;R/W;C0h;59.4.18/ 1939
4006_A013;UART FIFO Transmit Watermark (UART0_TWFIFO);8;R/W;00h;59.4.19/ 1940
