4007_2000;Peripheral ID register(USB0_PERID);8;R;04h; 
4007_2004;Peripheral ID Complement register(USB0_IDCOMP);8;R;FBh; 
4007_2008;Peripheral Revision register(USB0_REV);8;R;33h; 
4007_200C;Peripheral Additional Info register(USB0_ADDINFO);8;R;01h; 
4007_2010;OTG Interrupt Status register(USB0_OTGISTAT);8;R/W;00h; 
4007_2014;OTG Interrupt Control register(USB0_OTGICR);8;R/W;00h; 
4007_2018;OTG Status register(USB0_OTGSTAT);8;R/W;00h; 
4007_201C;OTG Control register(USB0_OTGCTL);8;R/W;00h; 
4007_2080;Interrupt Status register(USB0_ISTAT);8;R/W;00h; 
4007_2084;Interrupt Enable register(USB0_INTEN);8;R\W;00h; 
4007_2088;Error Interrupt Status register(USB0_ERRSTAT);8;R\W;00h; 
4007_208C;Error Interrupt Enable register(USB0_ERREN);8;R\W;00h; 
4007_2090;Status register(USB0_STAT);8;R;00h; 
4007_2094;Control register(USB0_CTL);8;R\W;00h; 
4007_2098;Address register(USB0_ADDR);8;R\W;00h; 
4007_209C;BDT Page register 1(USB0_BDTPAGE1);8;R\W;00h; 
4007_20A0;Frame Number register Low(USB0_FRMNUML);8;R\W;00h; 
4007_20A4;Frame Number register High (USB0_FRMNUMH);8;R\W;00h; 
4007_20A8;Token register (USB0_TOKEN);8;R/W;00h; 
4007_20AC;SOF Threshold register (USB0_SOFTHLD);8;R/W;00h; 
4007_20B0;BDT Page Register 2 (USB0_BDTPAGE2);8;R/W;00h; 
4007_20B4;BDT Page Register 3 (USB0_BDTPAGE3);8;R/W;00h; 
4007_20C0;Endpoint Control register (USB0_ENDPT0);8;R/W;00h; 
4007_20C4;Endpoint Control register (USB0_ENDPT1);8;R/W;00h; 
4007_20C8;Endpoint Control register (USB0_ENDPT2);8;R/W;00h; 
4007_20CC ;Endpoint Control register (USB0_ENDPT3)  ;8;R/W;00h; 
4007_20D0 ;Endpoint Control register (USB0_ENDPT4) ;8;R/W;00h; 
4007_20D4 ;Endpoint Control register (USB0_ENDPT5);8;R/W;00h; 
4007_20D8 ;Endpoint Control register (USB0_ENDPT6) ;8;R/W;00h; 
4007_20DC ;Endpoint Control register (USB0_ENDPT7) ;8;R/W;00h; 
4007_20E0;Endpoint Control register (USB0_ENDPT8) ;8;R/W;00h; 
4007_20E4;Endpoint Control register (USB0_ENDPT9);8;R/W;00h; 
4007_20E8;Endpoint Control register (USB0_ENDPT10);8;R/W;00h; 
4007_20EC;Endpoint Control register (USB0_ENDPT11);8;R/W;00h; 
4007_20F0;Endpoint Control register (USB0_ENDPT12);8;R/W;00h; 
4007_20F4;Endpoint Control register (USB0_ENDPT13);8;R/W;00h; 
4007_20F8;Endpoint Control register (USB0_ENDPT14);8;R/W;00h; 
4007_20FC;Endpoint Control register (USB0_ENDPT15);8;R/W;00h; 
4007_2100;USB Control register (USB0_USBCTRL);8;R/W;C0h; 
4007_2104;USB OTG Observe register (USB0_OBSERVE);8;R;50h; 
4007_2108;USB OTG Control register (USB0_CONTROL);8;R/W;00h; 
4007_210C;USB Transceiver Control register 0 (USB0_USBTRC0);8;R/W;00h; 
4007_2114;Frame Adjust Register (USB0_USBFRMADJUST);8;R/W;00h; 
4007_2140;USB Clock recovery control (USB0_CLK_RECOVER_CTRL);8;R/W;00h; 
4007_2144;IRC48M oscillator enable register (USB0_CLK_RECOVER_IRC_EN);8;R/W;01h; 
4007_215C;Clock recovery separated interrupt status (USB0_CLK_RECOVER_INT_STATUS);8;w1c;00h; 

====
USBx_PERID field descriptions;
7-6 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
ID;Peripheral Identification
;This field always reads 0x4h.

USBx_IDCOMP field descriptions;
7-6 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
NID; Ones' complement of PERID[ID] bits.

USBx_REV field descriptions;
7-0 REV;Revision
;Indicates the revision number of the USB Core.

USBx_ADDINFO field descriptions;
7-3 IRQNUM;
;Assigned Interrupt Request Number
2-1 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
0 IEHOST;This bit is set if host mode is enabled.

USBx_OTGISTAT field descriptions;
7 IDCHG;
;This bit is set when a change in the ID Signal from the USB connector is sensed.
6 ONEMSEC;
;This bit is set when the 1 millisecond timer expires. This bit stays asserted until cleared by software. The interrupt must be serviced every millisecond to avoid losing 1msec counts.
5 LINE_STATE_CHG;
;This interrupt is set when the USB line state (CTL[SE0] and CTL[JSTATE] bits) are stable without change for 1 millisecond, and the value of the line state is different from the last time when the line state was stable. It is set on transitions between SE0 and J-state, SE0 and K-state, and J-state and K-state. Changes in J-state while SE0 is true do not cause an interrupt. This interrupt can be used in detecting Reset, Resume, Connect, and Data Line Pulse signaling.
4 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
3 SESSVLDCHG;
;This bit is set when a change in VBUS is detected indicating a session valid or a session no longer valid.
2 B_SESS_CHG;
;This bit is set when a change in VBUS is detected on a B device.
1 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
0 AVBUSCHG;
;This bit is set when a change in VBUS is detected on an A device.

USBx_OTGICR field descriptions;
7 IDEN;ID Interrupt Enable
;0; The ID interrupt is disabled
;1; The ID interrupt is enabled
6 ONEMSECEN;One Millisecond Interrupt Enable
;0; Diables the 1ms timer interrupt.
;1; Enables the 1ms timer interrupt.
5 LINESTATEEN;Line State Change Interrupt Enable
;0; Disables the LINE_STAT_CHG interrupt.
;1; Enables the LINE_STAT_CHG interrupt.
4 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
3 SESSVLDEN;Session Valid Interrupt Enable
;0; Disables the SESSVLDCHG interrupt.
;1; Enables the SESSVLDCHG interrupt.
2 BSESSEN;B Session END Interrupt Enable
;0; Disables the B_SESS_CHG interrupt.
;1; Enables the B_SESS_CHG interrupt.
1 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
0 AVBUSEN;A VBUS Valid Interrupt Enable
;0; Disables the AVBUSCHG interrupt.
;1; Enables the AVBUSCHG interrupt.

USBx_OTGSTAT field descriptions;
7 ID;Indicates the current state of the ID pin on the USB connector
;0; Indicates a Type A cable is plugged into the USB connector.
;1; Indicates no cable is attached or a Type B cable is plugged into the USB connector.
6 ONEMSECEN;
;This bit is reserved for the 1ms count, but it is not useful to software.
5 LINESTATESTABLE;
;Indicates that the internal signals that control the LINE_STATE_CHG field of OTGISTAT are stable for at least 1 ms. This bit is used to provide a hardware debounce of the linestate in detection of Connect, Disconnect and Resume signaling. First read LINE_STATE_CHG field and then read this field. If this field reads as 1, then the value of LINE_STATE_CHG can be considered stable.
;0; The LINE_STAT_CHG bit is not yet stable.
;1; The LINE_STAT_CHG bit has been debounced and is stable.
4 Reserved;This field is reserved.
;This read-only field is reserved and always has the value 0.
3 SESS_VLD;Session Valid
;0; The VBUS voltage is below the B session valid threshold
;1; The VBUS voltage is above the B session valid threshold.
2 BSESSEND;B Session End
;0; The VBUS voltage is above the B session end threshold.
